哀求 乞求
唉声叹气 长吁短叹
爱财如命 一毛不拔
爱戴 敬爱
爱好 喜好
爱护 保护
爱怜 怜爱
爱莫能助 心有余而力不足
爱慕 倾慕
爱惜 顾惜
安定 安宁
安顿 安排
安分守己 循规蹈矩
安眠 安息
安宁 安定
安排 布置
安全 平安
安然无恙 平安无事
安如磐石 安如泰山
安适 安闲
安慰 抚慰
安稳 平稳
安闲 清闲
安逸 闲适
安置 安顿
安装 装置
按部就班 墨守成规
按照 依照
暗藏 隐藏
暗淡 昏暗
暗渡陈仓 声东击西
暗影 阴影
黯淡 暗淡
黯然失色 相形见绌
肮脏 龌龊
昂然挺立 昂首挺立
昂首 俯首
昂首阔步 高视阔步
昂扬 高昂
翱翔 飞翔
傲慢 高傲
奥秘 奥妙
奥妙 微妙
懊悔 悔恨
懊恼 烦恼
八面玲珑 面面俱到
巴不得 恨不得
跋山涉水 翻山越岭
把握 掌握
把戏 花招
罢黜 免除
罢职 撤职
霸占 占领
白璧无瑕 完美无缺
白天 白昼
白皙 白净
百读不厌 味同嚼蜡
百感交集 悲喜交集
百家争鸣 百花怒放
百里挑一 凤毛麟角
百年不遇 千载难逢
百思不解 大惑不解
百依百顺 唯命是从
百战百胜 战无不胜
百折不挠 坚韧不拔
摆布 支配
败落 没落
败退 溃退
败兴 扫兴
拜访 访问
拜服 佩服
拜会 拜见
颁布 公布
斑驳陆离 光怪陆离
板滞 呆板
版图 幅员
办法 方法
办理 操持
半斤八两 势均力敌
半途而废 前功尽弃
半信半疑 无可置疑
伴随 随同
帮忙 帮助
帮凶 爪牙
帮助 协助
榜样 典范
傍晚 黄昏
磅礴 澎湃
包庇 庇护
包含 包括
包罗万象 应有尽有
包容 容纳
褒扬 表扬
薄礼 厚礼
薄情 痴情
薄弱 单薄
饱满 丰满
宝贵 珍贵
保持 坚持
保存 保管
保护 维护
保留 保存
保卫 捍卫
保障 保证
保重 珍重
抱负 志向
抱恨终天 死不瞑目
抱头鼠窜 逃之夭夭
抱怨 埋怨
暴发 爆发
暴露无遗 原形毕露
暴跳如雷 大发雷霆
暴涨 暴跌
爆发 迸发
杯弓蛇影 草木皆兵
杯水车薪 无济于事
卑鄙 卑劣
卑躬屈膝 不屈不挠
卑劣 卑鄙
卑微 低微
卑下 卑贱
悲哀 悲痛
悲惨 凄惨
悲观 失望
悲剧 喜剧
悲叹 哀叹
悲痛 悲哀
悲痛欲绝 欣喜若狂
悲喜交集 百感交集
北方 南方
北国 南国
背道而驰 南辕北辙
背地 背后
背后 面前
背井离乡 衣锦还乡
背离 背叛
背面 反面
背水一战 破釜沉舟
背信弃义 言而无信
背阴 向阳
背运 走运
被动 主动
被告 原告
被迫 自愿
奔波 奔走
奔放 豪放
奔流 奔腾
奔走 奔波
本币 辅币
本来 原本
本领 身手
本末倒置 舍本逐末
本能 天性
本人 自己
本色 本性
本身 自身
本事 本领
本土 外乡
本性难移 脱胎换骨
本义 转义
本源 根源
本质 实质
笨口拙舌 伶牙俐齿
笨重 轻巧
笨拙 蠢笨
崩溃 解体
逼近 迫近
逼上梁山 铤而走险
比比皆是 屈指可数
比方 比如
比较 比拟
比拟 比较
比如 比方
比赛 竞赛
比照 对比
彼岸 此岸
笔供 口供
笔试 口试
笔挺 笔直
笔战 舌战
笔直 蜿蜒
笔直粗壮 挺拔伟岸
鄙弃 唾弃
鄙视 轻视
鄙俗 高雅
必定 肯定
必然 必定
必然王国 自由王国
必然性 偶然性
必修 ?
必须 必需
必由之路 殊途同归
毕生 一生
闭会 休会
闭口 开口
闭幕 落幕
闭庭 开庭
弊病 弊端
壁垒森严 严阵以待
避免 防止
避重就轻 拈轻怕重
边陲 边境
边际 边沿
边疆 内地
边远 遥远
编造 假造
鞭策 鞭笞
鞭挞 抨击
鞭长莫及 力所不及
贬斥 贬低
贬低 抬高
贬义 褒义
贬抑 褒扬
贬责 褒奖
贬值 升值
变本加厉 无以复加
变动 变化
变革 革新
变更 变卦
变化多端 变化无常
变化无穷 一成不变
变幻无穷 千变万化
变质 蜕变
便当 便利
便利 便当
便宜 廉价
遍布 遍及
遍及 普及
遍体鳞伤 体无完肤
辨别 区分
辨认 识别
辩白 分辩
辩解 辩白
辩论 争辩
标记 标志
标新立异 别具一格
标准 规范
表白 表达
表里如一 心口如一
表露 流露
表面 外表
表明 标明
表演 扮演
表彰 惩处
别具匠心 别出心裁
别离 分别
别人 他人
别树一帜 标新立异
别有用心 心怀叵测
蹩脚 糟糕
宾至如归 门庭若市
彬彬有礼 文质彬彬
缤纷 绚丽
摈弃 抛弃
兵荒马乱 太平盛世
兵临城下 十万火急
兵强马壮 残兵败将
兵士 战士
并行不悖 双管齐下
并驾齐驱 不相上下
并重 偏重
病入膏肓 不可救药
波动 动摇
波及 涉及
波澜 波涛
